125,Princeton Junction,Princeton
148,Trenton,
38291,Trenton - Riverline,Trenton - RL,
38174,Secaucus,
38187,Secaucus,
19,Bloomfield,
32906,Jersey Ave,
37953,Newark Airport,EWR Airport
39348,Hoboken Terminal - HBLR,Hoboken Terminal
38441,2nd Street - HBLR,2nd St
38442,9th Street - HBLR,9th St
38579,Tonnelle Avenue - HBLR,Tonnelle Ave
42673,8th Street - HBLR,8th St
9878,Port Imperial - HBLR,Port Imperial
17699,Lincoln Harbor - HBLR,Lincoln HBR
36994,Exchange Place - HBLR,Exchange Pl
36995,Essex Street - HBLR,Essex St
36996,Marin Boulevard - HBLR,Marin Blvd
36997,Jersey Avenue - HBLR,Jersey Ave HBLR
36998,Liberty State Park - HBLR,Liberty State Park
36999,Garfield Avenue - HBLR,Garfield Ave
37000,ML King Drive - HBLR,ML King Dr
37001,West Side Ave - HBLR,West Side Ave
37002,Richard Street - HBLR,Richard St
37003,Danforth Avenue - HBLR,Danforth Ave
37004,E 45Th Street - HBLR,E 45th St
37005,E 34Th Street - HBLR,E 34th St
37376,Harborside - HBLR,Harborside
37377,Harsimus Cove - HBLR,Hasimus Cove
37378,Newport - HBLR,Newport
38229,22nd Street - HBLR,22nd St
38292,Hamilton Avenue - Riverline,Hamilton Ave RL
38081,Montclair State University (MSU),MSU
39131,Riverfront - Riverline,Riverfront
38301,Riverside - Riverline,Riverside
38303,Riverton - Riverline,Riverton
38295,Roebling - Riverline,Roebling
38305,Route 73/Pennsauken - Riverline,Route 73
135,Salisbury Mills-Cornwall,Salisbury M-C
